publication_country_name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Canada,19,49,66,59,50,39,36,45,46,47,54,53,66,53,59,69,77,68,62,47,57,49,16
China,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,2,4,1,5,3,5,5,6,6,3,7,9
Eurasian Patent Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
European Patent Office,22,29,36,29,26,29,27,34,36,60,48,56,54,55,75,58,62,47,67,62,56,58,48
Germany,2,2,2,2,5,2,1,1,1,4,3,6,3,7,6,6,9,3,3,5,1,2,7
Israel,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,3,3,1,6,NA,2,2,1,1,2,3,1
Japan,NA,NA,NA,NA,NA,NA,NA,NA,17,26,27,15,16,15,13,14,24,9,14,5,6,4,NA
"Korea, Republic of",NA,NA,NA,1,NA,NA,1,1,10,2,17,21,18,16,21,43,31,29,17,17,14,18,30
Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,2,NA,NA,3,2,4,4,2,NA,NA
Patent Co-operation Treaty,8,13,31,16,20,22,23,26,34,46,63,85,77,91,73,96,102,103,121,65,79,92,80
Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,2,1,1,NA,NA,1
Russian Federation,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,1
Singapore,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,2,3,3,3,3,1,9,7,3,4,3,NA,6,3,2,4,3,3,4,NA,NA,NA,NA
Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
United States of America,86,58,73,91,58,79,81,67,64,95,118,156,206,256,242,241,250,248,295,244,286,253,288
