"pubcountry","pubcode","pubyear","n"
"Canada","CA",1968,1
"Canada","CA",1971,2
"Canada","CA",1972,4
"Canada","CA",1974,1
"Canada","CA",1975,1
"Canada","CA",1976,1
"Canada","CA",1977,1
"Canada","CA",1978,4
"Canada","CA",1979,8
"Canada","CA",1980,11
"Canada","CA",1981,14
"Canada","CA",1982,10
"Canada","CA",1983,12
"Canada","CA",1984,14
"Canada","CA",1985,7
"Canada","CA",1986,9
"Canada","CA",1987,14
"Canada","CA",1988,7
"Canada","CA",1989,10
"Canada","CA",1990,19
"Canada","CA",1991,49
"Canada","CA",1992,66
"Canada","CA",1993,59
"Canada","CA",1994,50
"Canada","CA",1995,39
"Canada","CA",1996,36
"Canada","CA",1997,45
"Canada","CA",1998,46
"Canada","CA",1999,47
"Canada","CA",2000,54
"Canada","CA",2001,53
"Canada","CA",2002,66
"Canada","CA",2003,53
"Canada","CA",2004,59
"Canada","CA",2005,69
"Canada","CA",2006,77
"Canada","CA",2007,68
"Canada","CA",2008,62
"Canada","CA",2009,47
"Canada","CA",2010,57
"Canada","CA",2011,49
"Canada","CA",2012,16
"Canada","CA",2013,9
"Canada","CA",NA,30
"China","CN",1996,1
"China","CN",1999,2
"China","CN",2000,1
"China","CN",2001,2
"China","CN",2002,4
"China","CN",2003,1
"China","CN",2004,5
"China","CN",2005,3
"China","CN",2006,5
"China","CN",2007,5
"China","CN",2008,6
"China","CN",2009,6
"China","CN",2010,3
"China","CN",2011,7
"China","CN",2012,9
"China","CN",2013,4
"China","CN",2014,8
"Eurasian Patent Organization","EA",1999,2
"Eurasian Patent Organization","EA",2006,1
"Eurasian Patent Organization","EA",2007,1
"European Patent Office","EP",1979,2
"European Patent Office","EP",1980,2
"European Patent Office","EP",1981,4
"European Patent Office","EP",1982,4
"European Patent Office","EP",1983,7
"European Patent Office","EP",1984,9
"European Patent Office","EP",1985,5
"European Patent Office","EP",1986,10
"European Patent Office","EP",1987,13
"European Patent Office","EP",1988,27
"European Patent Office","EP",1989,27
"European Patent Office","EP",1990,22
"European Patent Office","EP",1991,29
"European Patent Office","EP",1992,36
"European Patent Office","EP",1993,29
"European Patent Office","EP",1994,26
"European Patent Office","EP",1995,29
"European Patent Office","EP",1996,27
"European Patent Office","EP",1997,34
"European Patent Office","EP",1998,36
"European Patent Office","EP",1999,60
"European Patent Office","EP",2000,48
"European Patent Office","EP",2001,56
"European Patent Office","EP",2002,54
"European Patent Office","EP",2003,55
"European Patent Office","EP",2004,75
"European Patent Office","EP",2005,58
"European Patent Office","EP",2006,62
"European Patent Office","EP",2007,47
"European Patent Office","EP",2008,67
"European Patent Office","EP",2009,62
"European Patent Office","EP",2010,56
"European Patent Office","EP",2011,58
"European Patent Office","EP",2012,48
"European Patent Office","EP",2013,45
"European Patent Office","EP",2014,46
"European Patent Office","EP",2015,2
"Germany","DE",1971,1
"Germany","DE",1983,1
"Germany","DE",1984,2
"Germany","DE",1985,1
"Germany","DE",1989,1
"Germany","DE",1990,2
"Germany","DE",1991,2
"Germany","DE",1992,2
"Germany","DE",1993,2
"Germany","DE",1994,5
"Germany","DE",1995,2
"Germany","DE",1996,1
"Germany","DE",1997,1
"Germany","DE",1998,1
"Germany","DE",1999,4
"Germany","DE",2000,3
"Germany","DE",2001,6
"Germany","DE",2002,3
"Germany","DE",2003,7
"Germany","DE",2004,6
"Germany","DE",2005,6
"Germany","DE",2006,9
"Germany","DE",2007,3
"Germany","DE",2008,3
"Germany","DE",2009,5
"Germany","DE",2010,1
"Germany","DE",2011,2
"Germany","DE",2012,7
"Israel","IL",1977,1
"Israel","IL",1980,1
"Israel","IL",1984,1
"Israel","IL",1985,1
"Israel","IL",1986,1
"Israel","IL",1989,1
"Israel","IL",1992,1
"Israel","IL",1995,1
"Israel","IL",1996,1
"Israel","IL",2000,1
"Israel","IL",2001,3
"Israel","IL",2002,3
"Israel","IL",2003,1
"Israel","IL",2004,6
"Israel","IL",2006,2
"Israel","IL",2007,2
"Israel","IL",2008,1
"Israel","IL",2009,1
"Israel","IL",2010,2
"Israel","IL",2011,3
"Israel","IL",2012,1
"Japan","JP",1998,17
"Japan","JP",1999,26
"Japan","JP",2000,27
"Japan","JP",2001,15
"Japan","JP",2002,16
"Japan","JP",2003,15
"Japan","JP",2004,13
"Japan","JP",2005,14
"Japan","JP",2006,24
"Japan","JP",2007,9
"Japan","JP",2008,14
"Japan","JP",2009,5
"Japan","JP",2010,6
"Japan","JP",2011,4
"Korea, Republic of","KR",1989,1
"Korea, Republic of","KR",1993,1
"Korea, Republic of","KR",1996,1
"Korea, Republic of","KR",1997,1
"Korea, Republic of","KR",1998,10
"Korea, Republic of","KR",1999,2
"Korea, Republic of","KR",2000,17
"Korea, Republic of","KR",2001,21
"Korea, Republic of","KR",2002,18
"Korea, Republic of","KR",2003,16
"Korea, Republic of","KR",2004,21
"Korea, Republic of","KR",2005,43
"Korea, Republic of","KR",2006,31
"Korea, Republic of","KR",2007,29
"Korea, Republic of","KR",2008,17
"Korea, Republic of","KR",2009,17
"Korea, Republic of","KR",2010,14
"Korea, Republic of","KR",2011,18
"Korea, Republic of","KR",2012,30
"Korea, Republic of","KR",2013,29
"Korea, Republic of","KR",2014,8
"Mexico","MX",1999,2
"Mexico","MX",2000,2
"Mexico","MX",2002,2
"Mexico","MX",2003,2
"Mexico","MX",2006,3
"Mexico","MX",2007,2
"Mexico","MX",2008,4
"Mexico","MX",2009,4
"Mexico","MX",2010,2
"Patent Co-operation Treaty","WO",1980,2
"Patent Co-operation Treaty","WO",1983,1
"Patent Co-operation Treaty","WO",1984,2
"Patent Co-operation Treaty","WO",1985,1
"Patent Co-operation Treaty","WO",1986,1
"Patent Co-operation Treaty","WO",1987,2
"Patent Co-operation Treaty","WO",1988,6
"Patent Co-operation Treaty","WO",1989,9
"Patent Co-operation Treaty","WO",1990,8
"Patent Co-operation Treaty","WO",1991,13
"Patent Co-operation Treaty","WO",1992,31
"Patent Co-operation Treaty","WO",1993,16
"Patent Co-operation Treaty","WO",1994,20
"Patent Co-operation Treaty","WO",1995,22
"Patent Co-operation Treaty","WO",1996,23
"Patent Co-operation Treaty","WO",1997,26
"Patent Co-operation Treaty","WO",1998,34
"Patent Co-operation Treaty","WO",1999,46
"Patent Co-operation Treaty","WO",2000,63
"Patent Co-operation Treaty","WO",2001,85
"Patent Co-operation Treaty","WO",2002,77
"Patent Co-operation Treaty","WO",2003,91
"Patent Co-operation Treaty","WO",2004,73
"Patent Co-operation Treaty","WO",2005,96
"Patent Co-operation Treaty","WO",2006,102
"Patent Co-operation Treaty","WO",2007,103
"Patent Co-operation Treaty","WO",2008,121
"Patent Co-operation Treaty","WO",2009,65
"Patent Co-operation Treaty","WO",2010,79
"Patent Co-operation Treaty","WO",2011,92
"Patent Co-operation Treaty","WO",2012,80
"Patent Co-operation Treaty","WO",2013,97
"Patent Co-operation Treaty","WO",2014,89
"Patent Co-operation Treaty","WO",2015,13
"Portugal","PT",1979,1
"Portugal","PT",2003,3
"Portugal","PT",2005,1
"Portugal","PT",2007,2
"Portugal","PT",2008,1
"Portugal","PT",2009,1
"Portugal","PT",2012,1
"Portugal","PT",2014,1
"Russian Federation","RU",1997,5
"Russian Federation","RU",2005,1
"Russian Federation","RU",2007,1
"Russian Federation","RU",2009,1
"Russian Federation","RU",2010,1
"Russian Federation","RU",2012,1
"Russian Federation","RU",2014,1
"Singapore","SG",1998,1
"Singapore","SG",2003,1
"South Africa","ZA",1984,1
"South Africa","ZA",1988,1
"South Africa","ZA",1989,4
"South Africa","ZA",1990,2
"South Africa","ZA",1991,3
"South Africa","ZA",1992,3
"South Africa","ZA",1993,3
"South Africa","ZA",1994,3
"South Africa","ZA",1995,1
"South Africa","ZA",1996,9
"South Africa","ZA",1997,7
"South Africa","ZA",1998,3
"South Africa","ZA",1999,4
"South Africa","ZA",2000,3
"South Africa","ZA",2002,6
"South Africa","ZA",2003,3
"South Africa","ZA",2004,2
"South Africa","ZA",2005,4
"South Africa","ZA",2006,3
"South Africa","ZA",2007,3
"South Africa","ZA",2008,4
"Spain","ES",2002,2
"Spain","ES",2007,1
"United States of America","US",1940,1
"United States of America","US",1954,1
"United States of America","US",1956,1
"United States of America","US",1957,1
"United States of America","US",1959,1
"United States of America","US",1962,1
"United States of America","US",1964,2
"United States of America","US",1966,1
"United States of America","US",1967,1
"United States of America","US",1968,7
"United States of America","US",1969,1
"United States of America","US",1970,2
"United States of America","US",1971,3
"United States of America","US",1972,10
"United States of America","US",1973,9
"United States of America","US",1974,6
"United States of America","US",1975,10
"United States of America","US",1976,26
"United States of America","US",1977,22
"United States of America","US",1978,26
"United States of America","US",1979,15
"United States of America","US",1980,27
"United States of America","US",1981,32
"United States of America","US",1982,18
"United States of America","US",1983,32
"United States of America","US",1984,18
"United States of America","US",1985,32
"United States of America","US",1986,29
"United States of America","US",1987,29
"United States of America","US",1988,33
"United States of America","US",1989,53
"United States of America","US",1990,86
"United States of America","US",1991,58
"United States of America","US",1992,73
"United States of America","US",1993,91
"United States of America","US",1994,58
"United States of America","US",1995,79
"United States of America","US",1996,81
"United States of America","US",1997,67
"United States of America","US",1998,64
"United States of America","US",1999,95
"United States of America","US",2000,118
"United States of America","US",2001,156
"United States of America","US",2002,206
"United States of America","US",2003,256
"United States of America","US",2004,242
"United States of America","US",2005,241
"United States of America","US",2006,250
"United States of America","US",2007,248
"United States of America","US",2008,295
"United States of America","US",2009,244
"United States of America","US",2010,286
"United States of America","US",2011,253
"United States of America","US",2012,288
"United States of America","US",2013,284
"United States of America","US",2014,292
"United States of America","US",2015,41
